customer_id,stage,channel,frequency_segment,age_band
C0068,Consideration,Email,Low,18-24
C0069,Purchase,Social,Low,45-54
C0070,Consideration,Email,Medium,18-24
C0071,Awareness,Social,Low,55+
C0072,Purchase,Email,Medium,18-24
C0073,Purchase,Search,Medium,45-54
C0074,Awareness,Social,Low,18-24
C0075,Consideration,Search,Medium,25-34
C0076,Consideration,Social,Medium,55+
C0077,Purchase,Email,Medium,55+
C0078,Awareness,Social,Low,45-54
C0079,Consideration,Social,Medium,35-44
C0080,Consideration,Social,Low,25-34
C0081,Consideration,Email,Medium,55+
C0082,Purchase,Email,Medium,35-44
C0083,Consideration,Social,High,45-54
C0084,Awareness,Search,Medium,45-54
C0085,Purchase,Search,Low,35-44
C0086,Consideration,Email,High,35-44
C0087,Consideration,Social,Medium,25-34
C0088,Awareness,Search,Medium,55+
C0089,Consideration,Search,Low,45-54
C0090,Consideration,Search,Medium,35-44
C0091,Purchase,Search,High,25-34
C0092,Consideration,Social,Low,18-24
C0093,Consideration,Search,Low,35-44
C0094,Purchase,Email,Low,35-44
C0095,Purchase,Email,Low,35-44
C0096,Awareness,Search,High,25-34
C0097,Consideration,Search,High,25-34
C0098,Awareness,Email,Low,35-44
C0099,Purchase,Search,Low,35-44
C0100,Purchase,Email,Low,35-44
C0101,Purchase,Email,Medium,25-34
C0102,Purchase,Email,Low,35-44
C0103,Consideration,Social,Medium,35-44
C0104,Purchase,Social,Medium,45-54
C0105,Awareness,Social,Medium,18-24
C0106,Consideration,Email,Medium,18-24
C0107,Purchase,Email,Low,25-34
C0108,Consideration,Search,Medium,35-44
C0109,Consideration,Social,Low,18-24
C0110,Awareness,Email,Medium,18-24
C0111,Consideration,Email,Medium,18-24
C0112,Consideration,Email,Low,35-44
C0113,Consideration,Search,Medium,35-44
C0114,Awareness,Email,High,18-24
C0115,Purchase,Search,Medium,35-44
C0116,Purchase,Search,Low,25-34
C0117,Awareness,Social,High,18-24
C0118,Purchase,Social,Medium,25-34
C0119,Consideration,Email,Low,25-34
C0120,Awareness,Social,High,25-34
C0121,Awareness,Social,Low,18-24
C0122,Purchase,Email,Medium,25-34
C0123,Purchase,Social,Medium,25-34
C0124,Purchase,Social,Medium,35-44
C0125,Purchase,Email,Medium,18-24
C0126,Awareness,Social,Low,55+
C0127,Awareness,Email,Medium,35-44
C0128,Purchase,Social,Medium,25-34
C0129,Awareness,Email,Low,25-34
C0130,Awareness,Search,Low,45-54
C0131,Consideration,Email,Medium,25-34
C0132,Purchase,Search,High,18-24
C0133,Consideration,Email,Medium,35-44
C0134,Consideration,Social,Low,35-44
C0135,Awareness,Search,Medium,25-34
C0136,Consideration,Email,High,35-44
C0137,Purchase,Email,Medium,25-34
C0138,Purchase,Search,Medium,18-24
C0139,Consideration,Email,Low,25-34
C0140,Awareness,Search,Low,35-44
C0141,Consideration,Social,Low,18-24
C0142,Awareness,Email,Low,25-34
C0143,Purchase,Email,Low,35-44
C0144,Awareness,Social,Medium,45-54
C0145,Consideration,Search,Low,25-34
C0146,Consideration,Search,High,35-44
C0147,Purchase,Social,Medium,35-44
C0148,Awareness,Search,Low,18-24
C0149,Awareness,Search,Low,25-34
C0150,Purchase,Email,Low,25-34
C0151,Consideration,Search,Medium,35-44
C0152,Purchase,Search,High,18-24
C0153,Awareness,Email,Low,18-24
C0154,Purchase,Social,Low,25-34
C0155,Consideration,Email,Low,45-54
C0156,Consideration,Email,High,55+
C0157,Consideration,Email,Medium,18-24
C0158,Consideration,Search,Low,35-44
C0159,Purchase,Email,High,45-54
C0160,Consideration,Email,High,25-34
C0161,Purchase,Email,Medium,45-54
C0162,Purchase,Social,Medium,35-44
C0163,Purchase,Search,Medium,45-54
C0164,Purchase,Email,Low,45-54
C0165,Purchase,Email,Medium,55+
C0166,Awareness,Search,Low,35-44
C0167,Consideration,Social,Medium,55+
C0168,Consideration,Search,High,25-34
C0169,Consideration,Email,High,35-44
C0170,Awareness,Email,High,25-34
C0171,Consideration,Email,Medium,35-44
C0172,Consideration,Email,High,45-54
C0173,Awareness,Email,Medium,25-34
C0174,Awareness,Search,High,45-54
C0175,Awareness,Search,Low,55+
C0176,Purchase,Social,Low,45-54
C0177,Consideration,Social,Medium,35-44
C0178,Consideration,Search,High,45-54
C0179,Consideration,Social,Low,35-44
C0180,Purchase,Search,Medium,35-44
C0181,Awareness,Social,Low,18-24
C0182,Purchase,Email,Low,25-34
C0183,Purchase,Search,Low,45-54
C0184,Consideration,Search,High,35-44
C0185,Awareness,Email,Low,35-44
C0186,Awareness,Search,Medium,45-54
C0187,Consideration,Social,Medium,45-54
C0188,Purchase,Email,Medium,25-34
C0189,Purchase,Social,High,55+
C0190,Purchase,Search,Medium,25-34
C0191,Purchase,Email,Low,18-24
C0192,Consideration,Email,Low,35-44
C0193,Purchase,Email,Low,18-24
C0194,Consideration,Social,Low,55+
C0195,Purchase,Social,Low,25-34
C0196,Awareness,Email,Medium,55+
C0197,Awareness,Social,Low,25-34
C0198,Purchase,Social,Low,35-44
C0199,Consideration,Email,Medium,55+
C0200,Consideration,Social,Medium,35-44
C0201,Consideration,Social,High,25-34
C0202,Consideration,Social,High,35-44
C0203,Consideration,Social,Low,55+
C0204,Purchase,Email,Medium,25-34
C0205,Awareness,Social,Low,55+
C0206,Purchase,Search,Low,55+
C0207,Purchase,Email,High,55+
C0208,Awareness,Social,Low,18-24
C0209,Purchase,Social,High,35-44
C0210,Consideration,Email,Low,45-54
C0211,Consideration,Email,Low,35-44
C0212,Consideration,Search,Low,25-34
C0213,Consideration,Social,Low,18-24
C0214,Purchase,Social,Low,25-34
C0215,Consideration,Search,Low,18-24
C0216,Awareness,Email,Low,18-24
C0217,Consideration,Social,Low,45-54
C0218,Awareness,Social,Low,25-34
C0219,Awareness,Social,Medium,45-54
C0220,Awareness,Search,Low,35-44
C0221,Awareness,Email,Low,55+
C0222,Purchase,Search,Low,55+
C0223,Purchase,Email,Low,18-24
C0224,Awareness,Search,Low,18-24
C0225,Awareness,Search,Low,35-44
C0226,Consideration,Email,Medium,18-24
C0227,Awareness,Social,Medium,25-34
C0228,Awareness,Social,Low,18-24
C0229,Purchase,Social,Low,55+
C0230,Awareness,Social,Low,45-54
C0231,Awareness,Search,High,35-44
C0232,Awareness,Email,Low,35-44
C0233,Consideration,Search,Low,35-44
C0234,Consideration,Social,Medium,45-54
C0235,Purchase,Search,Low,35-44
C0236,Purchase,Email,Low,45-54
C0237,Awareness,Social,Low,35-44
C0238,Awareness,Email,Low,25-34
C0239,Awareness,Email,High,18-24
C0240,Purchase,Social,Low,45-54
C0241,Awareness,Social,Low,25-34
C0242,Consideration,Email,Medium,25-34
C0243,Purchase,Email,High,55+
C0244,Consideration,Search,High,25-34
C0245,Purchase,Search,Medium,25-34
C0246,Consideration,Email,Low,18-24
C0247,Awareness,Email,Medium,55+
C0248,Awareness,Social,Low,18-24
C0249,Consideration,Social,Low,25-34
C0250,Consideration,Search,Low,35-44
C0251,Awareness,Social,High,25-34
C0252,Awareness,Email,Low,35-44
C0253,Purchase,Social,Low,18-24
C0254,Purchase,Social,Medium,45-54
C0255,Purchase,Search,Low,35-44
C0256,Awareness,Social,Medium,45-54
C0257,Consideration,Search,Medium,25-34
C0258,Awareness,Email,Low,45-54
C0259,Purchase,Search,Medium,45-54
C0260,Consideration,Social,Low,18-24
C0261,Awareness,Email,Low,45-54
C0262,Purchase,Email,Medium,45-54
C0263,Awareness,Email,Low,18-24
C0264,Awareness,Social,Medium,45-54
C0265,Awareness,Social,Medium,45-54
C0266,Purchase,Social,Low,45-54
C0267,Awareness,Social,Low,18-24
C0268,Purchase,Email,Low,35-44
C0269,Consideration,Email,High,45-54
C0270,Awareness,Email,Medium,18-24
C0271,Awareness,Social,Medium,35-44
C0272,Awareness,Email,Medium,35-44
C0273,Consideration,Search,Low,35-44
C0274,Consideration,Email,Low,18-24
C0275,Purchase,Search,Low,35-44
C0276,Awareness,Email,Medium,55+
C0277,Purchase,Social,Medium,18-24
C0278,Purchase,Social,Low,45-54
C0279,Purchase,Email,High,25-34
C0280,Awareness,Email,Medium,25-34
C0281,Awareness,Email,Medium,45-54
C0282,Awareness,Email,Medium,45-54
C0283,Awareness,Search,High,45-54
C0284,Consideration,Social,Medium,55+
C0285,Consideration,Social,Medium,45-54
C0286,Awareness,Social,High,35-44
C0287,Purchase,Social,Low,45-54
C0288,Awareness,Social,Medium,45-54
C0289,Purchase,Search,Low,45-54
C0290,Awareness,Social,Low,18-24
C0291,Awareness,Search,Low,35-44
C0292,Awareness,Social,High,45-54
C0293,Awareness,Email,Medium,55+
C0294,Awareness,Email,Low,25-34
C0295,Purchase,Social,Low,35-44
C0296,Purchase,Social,High,18-24
C0297,Awareness,Email,Low,35-44
C0298,Awareness,Email,Low,45-54
C0299,Awareness,Search,Medium,35-44
C0300,Awareness,Social,Medium,35-44
C0301,Awareness,Social,Low,55+
C0302,Consideration,Social,Low,35-44
C0303,Consideration,Social,Low,25-34
C0304,Consideration,Email,Low,25-34
C0305,Purchase,Search,Medium,25-34
C0306,Awareness,Email,Low,25-34
C0307,Consideration,Search,Medium,18-24
C0308,Awareness,Search,High,45-54
C0309,Awareness,Social,Medium,55+
C0310,Consideration,Search,Low,35-44
C0311,Awareness,Search,Medium,18-24
C0312,Awareness,Social,High,18-24
C0313,Purchase,Search,Low,25-34
C0314,Consideration,Search,Medium,18-24
C0315,Awareness,Email,Medium,25-34
C0316,Consideration,Email,Medium,45-54
C0317,Consideration,Search,High,18-24
C0318,Awareness,Search,Low,25-34
C0319,Awareness,Email,High,25-34
C0320,Purchase,Social,Medium,25-34
C0321,Consideration,Email,Medium,35-44
C0322,Purchase,Email,Low,25-34
C0323,Purchase,Social,Medium,35-44
C0324,Consideration,Email,Medium,45-54
C0325,Awareness,Email,Low,18-24
C0326,Consideration,Search,Low,25-34
C0327,Purchase,Email,Low,45-54
C0328,Awareness,Email,Low,25-34
C0329,Consideration,Email,Low,18-24
C0330,Purchase,Search,Low,55+
C0331,Awareness,Email,Medium,55+
C0332,Consideration,Search,Medium,35-44
C0333,Awareness,Email,High,35-44
C0334,Awareness,Social,Medium,18-24
C0335,Awareness,Search,Low,45-54
C0336,Awareness,Social,Low,18-24
C0337,Awareness,Email,High,18-24
C0338,Consideration,Social,Low,18-24
C0339,Awareness,Email,Low,25-34
C0340,Consideration,Email,Medium,35-44
C0341,Awareness,Social,Low,45-54
C0342,Purchase,Email,Low,25-34
C0343,Consideration,Search,High,45-54
C0344,Consideration,Social,High,35-44
C0345,Awareness,Email,Medium,35-44
C0346,Awareness,Email,Medium,35-44
C0347,Consideration,Social,High,18-24
C0348,Purchase,Search,Medium,25-34
C0349,Consideration,Social,Low,35-44
C0350,Purchase,Social,Low,35-44
C0351,Purchase,Email,Medium,25-34
C0352,Awareness,Email,Medium,55+
C0353,Awareness,Search,Low,18-24
C0354,Awareness,Search,Medium,45-54
C0355,Purchase,Social,Medium,45-54
C0356,Purchase,Email,Medium,25-34
C0357,Awareness,Email,Low,18-24
C0358,Purchase,Email,Low,55+
C0359,Awareness,Search,Medium,45-54
C0360,Purchase,Social,Medium,18-24
C0361,Purchase,Email,Medium,45-54
C0362,Consideration,Social,Medium,25-34
C0363,Consideration,Search,Low,35-44
C0364,Consideration,Email,Low,25-34
C0365,Awareness,Email,High,45-54
C0366,Awareness,Search,Medium,35-44
C0367,Consideration,Email,High,25-34
C0368,Consideration,Email,Low,55+
C0369,Awareness,Social,Low,35-44
C0370,Consideration,Social,Medium,45-54
C0371,Awareness,Social,Medium,35-44
C0372,Awareness,Social,High,25-34
C0373,Consideration,Email,High,25-34
C0374,Awareness,Social,Medium,35-44
C0375,Purchase,Email,Medium,35-44
C0376,Awareness,Search,Low,25-34
C0377,Purchase,Email,Low,25-34
C0378,Consideration,Social,Medium,18-24
C0379,Awareness,Email,Low,55+
C0380,Consideration,Email,Low,35-44
C0381,Consideration,Email,High,35-44
C0382,Awareness,Social,Medium,35-44
C0383,Awareness,Search,Low,25-34
C0384,Purchase,Email,Low,45-54
C0385,Purchase,Social,Medium,18-24
C0386,Consideration,Search,Medium,18-24
C0387,Awareness,Search,Low,35-44
C0388,Consideration,Social,Medium,25-34
C0389,Awareness,Email,Medium,18-24
C0390,Awareness,Social,Low,45-54
C0391,Awareness,Social,Medium,25-34
C0392,Awareness,Search,Low,45-54
C0393,Awareness,Email,Medium,35-44
C0394,Consideration,Email,Low,45-54
C0395,Purchase,Email,Low,55+
C0396,Consideration,Email,High,25-34
C0397,Purchase,Social,Low,45-54
C0398,Purchase,Search,Medium,18-24
C0399,Purchase,Social,Medium,18-24
C0400,Consideration,Email,Low,35-44
C0401,Consideration,Search,High,35-44
C0402,Consideration,Social,Medium,18-24
C0403,Awareness,Social,Medium,18-24
C0404,Purchase,Search,Medium,25-34
C0405,Awareness,Search,Low,55+
C0406,Purchase,Search,Medium,25-34
C0407,Awareness,Social,Low,35-44
C0408,Purchase,Social,Low,45-54
C0409,Consideration,Email,High,55+
C0410,Awareness,Social,Medium,25-34
C0411,Consideration,Search,High,35-44
C0412,Consideration,Social,High,35-44
C0413,Awareness,Email,Low,45-54
C0414,Consideration,Search,Medium,45-54
C0415,Purchase,Social,Low,45-54
C0416,Awareness,Email,Low,18-24
C0417,Consideration,Email,High,25-34
C0418,Purchase,Social,Low,18-24
C0419,Consideration,Social,Low,55+
C0420,Consideration,Search,High,55+
C0421,Purchase,Search,Low,18-24
C0422,Consideration,Email,Low,35-44
C0423,Purchase,Email,High,35-44
C0424,Purchase,Search,High,25-34
C0425,Consideration,Social,Low,18-24
C0426,Purchase,Social,Low,55+
C0427,Awareness,Email,Medium,45-54
C0428,Awareness,Social,Low,18-24
C0429,Consideration,Social,Medium,25-34
C0430,Purchase,Social,Low,45-54
C0431,Consideration,Email,Low,25-34
C0432,Purchase,Social,Medium,25-34
C0433,Consideration,Search,High,45-54
C0434,Consideration,Social,Low,55+
C0435,Awareness,Search,Low,25-34
C0436,Awareness,Social,Low,25-34
C0437,Awareness,Search,Low,45-54
C0438,Consideration,Social,Medium,35-44
C0439,Awareness,Email,Medium,55+
C0440,Purchase,Email,Low,35-44
C0441,Consideration,Social,Medium,35-44
C0442,Purchase,Email,Medium,45-54
C0443,Awareness,Email,Low,18-24
C0444,Consideration,Email,Medium,18-24
C0445,Purchase,Email,Medium,55+
C0446,Purchase,Search,High,18-24
C0447,Purchase,Search,Medium,35-44
C0448,Consideration,Search,Medium,45-54
C0449,Consideration,Email,High,55+
C0450,Awareness,Email,Medium,25-34
C0451,Consideration,Search,High,25-34
C0452,Purchase,Social,Low,25-34
C0453,Purchase,Search,Medium,35-44
C0454,Purchase,Social,Low,45-54
C0455,Awareness,Search,Low,25-34
C0456,Consideration,Social,Low,35-44
C0457,Consideration,Social,High,45-54
C0458,Consideration,Email,Low,45-54
C0459,Awareness,Search,Low,45-54
C0460,Purchase,Search,High,45-54
C0461,Awareness,Search,Low,18-24
C0462,Awareness,Search,Medium,18-24
C0463,Purchase,Social,Low,18-24
C0464,Purchase,Email,Medium,25-34
C0465,Consideration,Social,Low,25-34
C0466,Consideration,Email,Low,45-54
C0467,Purchase,Search,Low,55+
C0468,Awareness,Search,Low,25-34
C0469,Consideration,Social,Medium,35-44
C0470,Purchase,Email,High,18-24
C0471,Purchase,Search,Low,45-54
C0472,Awareness,Email,High,18-24
C0473,Consideration,Email,High,25-34
C0474,Awareness,Social,Low,18-24
C0475,Purchase,Search,Low,18-24
C0476,Consideration,Email,Medium,18-24
C0477,Consideration,Search,High,45-54
C0478,Purchase,Social,Low,18-24
C0479,Awareness,Email,Low,25-34
C0480,Awareness,Email,Low,35-44
C0481,Purchase,Email,Medium,45-54
C0482,Awareness,Social,Low,45-54
C0483,Awareness,Social,Low,25-34
C0484,Consideration,Search,Low,25-34
C0485,Purchase,Search,Low,18-24
C0486,Purchase,Email,Low,25-34
C0487,Consideration,Search,Medium,18-24
C0488,Awareness,Email,Low,35-44
C0489,Purchase,Social,Low,35-44
C0490,Consideration,Social,Medium,25-34
C0491,Awareness,Email,High,25-34
C0492,Purchase,Email,Low,25-34
C0493,Consideration,Social,Low,25-34
C0494,Purchase,Search,Medium,25-34
C0495,Purchase,Social,Medium,18-24
C0496,Consideration,Search,Low,45-54
C0497,Awareness,Social,Medium,35-44
C0498,Consideration,Search,Medium,45-54
C0499,Awareness,Social,Medium,25-34
C0500,Consideration,Email,Low,35-44
C0501,Consideration,Email,Medium,45-54
C0502,Consideration,Email,Medium,35-44
C0503,Purchase,Email,Low,25-34
C0504,Consideration,Search,Medium,18-24
C0505,Consideration,Social,Medium,45-54
C0506,Purchase,Email,Low,25-34
C0507,Consideration,Search,Low,55+
C0508,Awareness,Social,High,35-44
C0509,Consideration,Social,Low,35-44
C0510,Purchase,Search,Low,45-54
C0511,Consideration,Email,High,35-44
C0512,Purchase,Social,Medium,18-24
C0513,Purchase,Email,High,45-54
C0514,Consideration,Search,High,25-34
C0515,Awareness,Search,Medium,45-54
C0516,Consideration,Email,High,18-24
C0517,Purchase,Search,High,35-44
C0518,Consideration,Email,Medium,35-44
C0519,Consideration,Social,Low,35-44
C0520,Purchase,Email,Medium,25-34
C0521,Consideration,Search,Low,25-34
C0522,Awareness,Search,High,35-44
C0523,Purchase,Social,Low,18-24
C0524,Purchase,Search,Medium,45-54
C0525,Awareness,Email,Low,45-54
C0526,Purchase,Social,Medium,55+
C0527,Consideration,Social,Medium,25-34
C0528,Consideration,Search,Medium,35-44
C0529,Awareness,Email,Medium,45-54
C0530,Purchase,Social,Medium,45-54
C0531,Consideration,Social,High,18-24
C0532,Awareness,Social,Medium,25-34
C0533,Consideration,Social,Medium,45-54
C0534,Consideration,Search,High,25-34
C0535,Purchase,Email,Low,18-24
C0536,Awareness,Social,Low,25-34
C0537,Purchase,Search,Low,25-34
C0538,Awareness,Social,Low,35-44
C0539,Awareness,Search,Low,18-24
C0540,Purchase,Email,Medium,18-24
C0541,Awareness,Social,High,25-34
C0542,Awareness,Email,Low,25-34
C0543,Purchase,Email,High,35-44
C0544,Purchase,Social,High,18-24
C0545,Consideration,Search,Medium,45-54
C0546,Awareness,Social,Medium,45-54
C0547,Consideration,Social,Low,45-54
C0548,Awareness,Search,Medium,45-54
C0549,Awareness,Email,Low,35-44
C0550,Purchase,Email,Low,55+
C0551,Purchase,Social,High,35-44
C0552,Awareness,Email,Low,45-54
C0553,Purchase,Email,Medium,55+
C0554,Awareness,Email,Medium,35-44
C0555,Consideration,Email,Medium,35-44
C0556,Purchase,Social,Low,55+
C0557,Purchase,Email,High,25-34
C0558,Purchase,Social,Low,25-34
C0559,Consideration,Email,Medium,25-34
C0560,Awareness,Search,Low,25-34
C0561,Consideration,Email,Medium,25-34
C0562,Consideration,Email,Medium,25-34
C0563,Awareness,Social,Medium,35-44
C0564,Consideration,Search,Medium,25-34
C0565,Consideration,Social,High,35-44
C0566,Consideration,Email,High,25-34
C0567,Purchase,Social,Low,35-44
C0568,Awareness,Email,Medium,18-24
C0569,Awareness,Search,Low,35-44
C0570,Awareness,Search,Low,55+
C0571,Awareness,Email,High,35-44
C0572,Purchase,Search,Low,25-34
C0573,Purchase,Search,Medium,45-54
C0574,Consideration,Email,Low,25-34
C0575,Consideration,Email,High,35-44
C0576,Awareness,Social,Medium,35-44
C0577,Purchase,Social,Low,35-44
C0578,Consideration,Search,High,45-54
C0579,Consideration,Search,High,25-34
C0580,Purchase,Social,Low,35-44
C0581,Awareness,Search,Medium,35-44
C0582,Awareness,Search,Low,45-54
C0583,Awareness,Email,Low,45-54
C0584,Purchase,Email,Medium,25-34
C0585,Consideration,Social,High,35-44
C0586,Consideration,Email,Medium,18-24
C0587,Awareness,Search,Low,35-44
C0588,Purchase,Email,Low,45-54
C0589,Awareness,Email,Low,45-54
C0590,Awareness,Search,Low,18-24
C0591,Consideration,Email,Medium,45-54
C0592,Consideration,Social,Medium,18-24
C0593,Awareness,Search,Medium,35-44
C0594,Awareness,Social,Low,45-54
C0595,Awareness,Social,Medium,25-34
C0596,Purchase,Email,Medium,35-44
C0597,Consideration,Search,Medium,35-44
C0598,Awareness,Email,Medium,25-34
C0599,Purchase,Social,Medium,55+
C0600,Awareness,Email,Low,35-44
C0601,Purchase,Email,High,55+
C0602,Awareness,Search,Low,55+
C0603,Consideration,Search,Low,35-44
C0604,Awareness,Email,Low,55+
C0605,Purchase,Email,Medium,18-24
C0606,Purchase,Search,High,35-44
C0607,Purchase,Email,Low,18-24
C0608,Awareness,Email,High,18-24
C0609,Awareness,Search,High,45-54
C0610,Awareness,Email,Medium,18-24
C0611,Awareness,Social,Medium,18-24
C0612,Purchase,Email,High,55+
C0613,Awareness,Search,Low,45-54
C0614,Awareness,Social,Low,55+
C0615,Consideration,Social,High,55+
C0616,Consideration,Social,Medium,35-44
C0617,Purchase,Email,Medium,25-34
C0618,Purchase,Social,High,25-34
C0619,Awareness,Social,High,45-54
C0620,Awareness,Search,Low,18-24
C0621,Purchase,Search,Medium,18-24
C0622,Consideration,Email,Medium,25-34
C0623,Purchase,Email,Low,18-24
C0624,Consideration,Search,Low,18-24
C0625,Consideration,Search,Medium,18-24
C0626,Purchase,Search,Medium,55+
C0627,Awareness,Search,Low,45-54
C0628,Awareness,Email,Low,55+
C0629,Purchase,Email,Low,45-54
C0630,Purchase,Social,Medium,25-34
C0631,Awareness,Search,Low,45-54
C0632,Consideration,Email,Medium,25-34
C0633,Purchase,Email,Medium,18-24
C0634,Consideration,Search,Medium,25-34
C0635,Consideration,Email,Low,35-44
C0636,Purchase,Social,Medium,18-24
C0637,Awareness,Social,Medium,25-34
C0638,Awareness,Social,Medium,35-44
C0639,Consideration,Social,Medium,18-24
C0640,Purchase,Email,Low,45-54
C0641,Purchase,Email,Low,45-54
C0642,Awareness,Search,Low,45-54
C0643,Awareness,Social,Medium,25-34
C0644,Purchase,Social,Medium,35-44
C0645,Consideration,Social,Medium,25-34
C0646,Awareness,Email,Low,25-34
C0647,Purchase,Search,Low,45-54
C0648,Consideration,Search,Medium,18-24
C0649,Consideration,Email,Low,18-24
C0650,Purchase,Email,Medium,45-54
C0651,Awareness,Email,Low,45-54
C0652,Awareness,Social,High,35-44
C0653,Awareness,Email,Medium,25-34
C0654,Purchase,Email,Low,18-24
C0655,Purchase,Search,Medium,18-24
C0656,Awareness,Social,Medium,45-54
C0657,Consideration,Email,Low,35-44
C0658,Awareness,Social,Medium,25-34
C0659,Consideration,Search,Medium,45-54
C0660,Purchase,Email,High,55+
C0661,Consideration,Social,Medium,18-24
C0662,Purchase,Search,Medium,25-34
C0663,Awareness,Social,Medium,45-54
C0664,Purchase,Search,Low,25-34
C0665,Awareness,Search,Low,45-54
C0666,Consideration,Social,Low,55+
C0667,Purchase,Search,High,35-44
C0668,Consideration,Search,Low,25-34
C0669,Consideration,Email,Medium,35-44
C0670,Awareness,Search,Low,45-54
C0671,Purchase,Social,Low,55+
C0672,Awareness,Social,Medium,25-34
C0673,Awareness,Social,Low,25-34
C0674,Purchase,Email,High,18-24
C0675,Purchase,Email,Medium,18-24
C0676,Consideration,Search,Medium,18-24
C0677,Purchase,Social,Low,35-44
C0678,Awareness,Social,High,25-34
C0679,Consideration,Search,Medium,45-54
C0680,Awareness,Search,High,45-54
C0681,Awareness,Email,Low,18-24
C0682,Consideration,Email,Medium,25-34
C0683,Purchase,Social,Medium,18-24
C0684,Purchase,Email,Low,25-34
C0685,Consideration,Search,Medium,25-34
C0686,Awareness,Search,Medium,18-24
C0687,Purchase,Email,Low,45-54
C0688,Consideration,Email,High,18-24
C0689,Consideration,Social,Medium,18-24
C0690,Consideration,Email,Medium,35-44
C0691,Purchase,Email,Medium,35-44
C0692,Awareness,Email,Low,45-54
C0693,Awareness,Search,Medium,25-34
C0694,Awareness,Search,Low,25-34
C0695,Consideration,Search,Low,45-54
C0696,Consideration,Email,Low,45-54
C0697,Consideration,Social,Medium,35-44
C0698,Purchase,Email,High,55+
C0699,Consideration,Search,Medium,45-54
C0700,Consideration,Social,Medium,35-44
C0701,Awareness,Email,Medium,35-44
C0702,Consideration,Email,Medium,25-34
C0703,Purchase,Email,Medium,18-24
C0704,Awareness,Social,Medium,18-24
C0705,Purchase,Social,Low,18-24
C0706,Purchase,Search,Low,18-24
C0707,Purchase,Email,High,45-54
C0708,Purchase,Email,Medium,35-44
C0709,Consideration,Search,Medium,18-24
C0710,Purchase,Social,Medium,18-24
C0711,Awareness,Social,Low,25-34
C0712,Purchase,Email,Medium,45-54
C0713,Consideration,Email,Low,25-34
C0714,Consideration,Social,High,18-24
C0715,Awareness,Social,High,35-44
C0716,Purchase,Search,Low,18-24
C0717,Purchase,Email,Medium,25-34
C0718,Awareness,Email,Medium,45-54
C0719,Awareness,Search,Low,35-44
C0720,Purchase,Email,High,18-24
C0721,Purchase,Social,Medium,35-44
C0722,Consideration,Social,Low,45-54
C0723,Awareness,Social,Low,35-44
C0724,Consideration,Search,Low,35-44
C0725,Awareness,Social,Low,45-54
C0726,Consideration,Email,Low,25-34
C0727,Awareness,Social,Medium,18-24
C0728,Consideration,Social,High,25-34
C0729,Consideration,Social,Medium,25-34
C0730,Awareness,Email,Low,45-54
