respondent_id,brand_choice,price_sensitivity,age_band,channel
R0060,Brand C,Low,35-44,Social
R0061,Brand A,Medium,25-34,Search
R0062,Brand B,Medium,18-24,Social
R0063,Brand D,High,55+,Search
R0064,Brand D,High,25-34,Search
R0065,Brand B,High,25-34,Email
R0066,Brand B,High,25-34,Search
R0067,Brand A,Low,25-34,Social
R0068,Brand D,High,35-44,Search
R0069,Brand B,Medium,55+,Search
R0070,Brand B,Medium,18-24,Social
R0071,Brand D,Low,35-44,Search
R0072,Brand B,Medium,18-24,Search
R0073,Brand C,Low,18-24,Search
R0074,Brand A,High,18-24,Social
R0075,Brand B,Low,18-24,Social
R0076,Brand B,Medium,35-44,Social
R0077,Brand A,Low,35-44,Email
R0078,Brand D,Medium,18-24,Search
R0079,Brand B,High,35-44,Social
R0080,Brand B,Low,45-54,Social
R0081,Brand B,High,55+,Search
R0082,Brand A,Low,18-24,Search
R0083,Brand D,Medium,18-24,Social
R0084,Brand A,High,35-44,Social
R0085,Brand B,Medium,25-34,Search
R0086,Brand D,High,25-34,Email
R0087,Brand D,Medium,25-34,Search
R0088,Brand D,Medium,35-44,Email
R0089,Brand A,Low,35-44,Social
R0090,Brand D,Low,55+,Search
R0091,Brand A,High,25-34,Social
R0092,Brand C,Low,35-44,Search
R0093,Brand B,Medium,18-24,Search
R0094,Brand D,Medium,45-54,Email
R0095,Brand A,High,18-24,Email
R0096,Brand D,Low,25-34,Social
R0097,Brand B,High,18-24,Search
R0098,Brand B,High,25-34,Social
R0099,Brand B,High,35-44,Email
R0100,Brand B,Medium,45-54,Email
R0101,Brand D,Medium,35-44,Social
R0102,Brand B,High,35-44,Search
R0103,Brand B,Low,18-24,Social
R0104,Brand B,Medium,35-44,Social
R0105,Brand A,Medium,25-34,Search
R0106,Brand D,High,25-34,Social
R0107,Brand B,Low,25-34,Social
R0108,Brand D,High,18-24,Email
R0109,Brand A,Low,35-44,Social
R0110,Brand D,Medium,35-44,Social
R0111,Brand C,Low,45-54,Search
R0112,Brand D,Medium,35-44,Email
R0113,Brand A,Low,18-24,Email
R0114,Brand B,Low,25-34,Social
R0115,Brand C,Medium,18-24,Email
R0116,Brand D,Medium,55+,Search
R0117,Brand A,High,18-24,Social
R0118,Brand B,Medium,45-54,Email
R0119,Brand A,Medium,45-54,Search
R0120,Brand B,Medium,18-24,Social
R0121,Brand A,High,35-44,Social
R0122,Brand A,Medium,55+,Search
R0123,Brand A,Medium,45-54,Social
R0124,Brand A,High,25-34,Search
R0125,Brand D,High,45-54,Search
R0126,Brand A,Medium,35-44,Search
R0127,Brand D,Medium,45-54,Email
R0128,Brand D,High,18-24,Search
R0129,Brand C,High,18-24,Social
R0130,Brand B,High,18-24,Search
R0131,Brand B,Medium,18-24,Search
R0132,Brand B,High,18-24,Search
R0133,Brand D,Medium,18-24,Search
R0134,Brand A,Medium,35-44,Search
R0135,Brand A,High,55+,Social
R0136,Brand D,High,35-44,Search
R0137,Brand B,Low,55+,Social
R0138,Brand C,Medium,18-24,Search
R0139,Brand B,Medium,35-44,Search
R0140,Brand C,Low,35-44,Social
R0141,Brand C,High,45-54,Search
R0142,Brand D,Low,45-54,Social
R0143,Brand B,Low,25-34,Email
R0144,Brand D,High,18-24,Social
R0145,Brand A,High,25-34,Social
R0146,Brand C,Medium,35-44,Social
R0147,Brand D,High,35-44,Email
R0148,Brand C,High,55+,Search
R0149,Brand B,High,18-24,Search
R0150,Brand C,Medium,35-44,Search
R0151,Brand C,Low,35-44,Email
R0152,Brand D,Medium,25-34,Email
R0153,Brand C,Medium,45-54,Social
R0154,Brand C,Medium,18-24,Email
R0155,Brand C,High,35-44,Email
R0156,Brand B,Medium,18-24,Search
R0157,Brand C,High,55+,Email
R0158,Brand D,High,18-24,Email
R0159,Brand B,High,18-24,Search
R0160,Brand B,Medium,55+,Search
R0161,Brand D,High,55+,Social
R0162,Brand D,Medium,25-34,Email
R0163,Brand A,Low,25-34,Search
R0164,Brand B,High,55+,Search
R0165,Brand B,High,25-34,Email
R0166,Brand A,Low,35-44,Social
R0167,Brand B,High,45-54,Search
R0168,Brand D,High,45-54,Search
R0169,Brand C,Low,18-24,Social
R0170,Brand C,Medium,35-44,Social
R0171,Brand D,High,25-34,Search
R0172,Brand B,High,25-34,Social
R0173,Brand D,Low,35-44,Email
R0174,Brand A,High,25-34,Email
R0175,Brand C,Medium,18-24,Search
R0176,Brand A,Low,35-44,Social
R0177,Brand B,Low,18-24,Social
R0178,Brand B,Medium,25-34,Social
R0179,Brand C,Low,55+,Social
R0180,Brand B,Medium,18-24,Search
R0181,Brand D,Medium,45-54,Search
R0182,Brand D,Medium,55+,Search
R0183,Brand A,High,45-54,Email
R0184,Brand B,Medium,18-24,Search
R0185,Brand B,High,25-34,Social
R0186,Brand A,Low,35-44,Search
R0187,Brand A,Medium,55+,Search
R0188,Brand B,Medium,18-24,Email
R0189,Brand B,Low,18-24,Search
R0190,Brand C,Low,25-34,Social
R0191,Brand D,Medium,35-44,Email
R0192,Brand D,Medium,18-24,Email
R0193,Brand B,Medium,18-24,Social
R0194,Brand C,Medium,18-24,Search
R0195,Brand C,Medium,25-34,Social
R0196,Brand C,High,35-44,Email
R0197,Brand C,Low,35-44,Search
R0198,Brand D,High,55+,Email
R0199,Brand C,Medium,45-54,Search
R0200,Brand C,High,25-34,Social
R0201,Brand C,Low,18-24,Social
R0202,Brand B,High,18-24,Social
R0203,Brand D,Medium,45-54,Search
R0204,Brand A,High,18-24,Email
R0205,Brand B,Medium,25-34,Search
R0206,Brand C,Medium,25-34,Search
R0207,Brand A,High,35-44,Search
R0208,Brand D,Medium,35-44,Email
R0209,Brand C,High,25-34,Email
R0210,Brand D,Low,18-24,Email
R0211,Brand D,Medium,25-34,Search
R0212,Brand A,Low,18-24,Search
R0213,Brand D,Medium,35-44,Search
R0214,Brand B,High,25-34,Social
R0215,Brand A,High,18-24,Social
R0216,Brand A,High,18-24,Search
R0217,Brand D,Low,35-44,Email
R0218,Brand A,Medium,55+,Email
R0219,Brand B,Medium,18-24,Social
R0220,Brand D,Medium,35-44,Search
R0221,Brand C,Low,35-44,Search
R0222,Brand D,High,25-34,Search
R0223,Brand B,Low,55+,Email
R0224,Brand A,Medium,45-54,Email
R0225,Brand C,Medium,18-24,Social
R0226,Brand C,Medium,18-24,Social
R0227,Brand C,Medium,35-44,Email
R0228,Brand B,Medium,55+,Search
R0229,Brand A,High,18-24,Search
R0230,Brand A,Medium,45-54,Social
R0231,Brand C,Low,35-44,Search
R0232,Brand A,Low,25-34,Email
R0233,Brand D,High,18-24,Search
R0234,Brand B,Low,18-24,Search
R0235,Brand B,High,25-34,Social
R0236,Brand C,High,55+,Search
R0237,Brand B,Medium,45-54,Search
R0238,Brand C,Low,25-34,Email
R0239,Brand D,Medium,35-44,Social
R0240,Brand D,Medium,35-44,Social
R0241,Brand A,Low,35-44,Social
R0242,Brand C,Low,35-44,Email
R0243,Brand A,Low,35-44,Search
R0244,Brand C,Medium,45-54,Email
R0245,Brand A,High,45-54,Search
R0246,Brand C,Low,18-24,Search
R0247,Brand A,High,25-34,Search
R0248,Brand C,Medium,25-34,Email
R0249,Brand A,Low,55+,Search
R0250,Brand C,Low,25-34,Search
R0251,Brand C,Medium,18-24,Search
R0252,Brand A,Medium,35-44,Social
R0253,Brand A,Low,18-24,Search
R0254,Brand D,High,35-44,Search
R0255,Brand D,High,45-54,Search
R0256,Brand A,Medium,45-54,Search
R0257,Brand C,Medium,25-34,Email
R0258,Brand D,Medium,35-44,Social
R0259,Brand C,High,18-24,Social
R0260,Brand A,Medium,18-24,Social
R0261,Brand B,High,25-34,Social
R0262,Brand A,Low,25-34,Social
R0263,Brand C,Low,18-24,Search
R0264,Brand A,High,25-34,Social
R0265,Brand A,Medium,18-24,Social
R0266,Brand B,Medium,18-24,Search
R0267,Brand B,High,18-24,Search
R0268,Brand D,Low,35-44,Social
R0269,Brand B,Medium,18-24,Social
R0270,Brand A,Low,18-24,Email
R0271,Brand C,High,35-44,Search
R0272,Brand A,Low,25-34,Search
R0273,Brand D,Medium,18-24,Email
R0274,Brand C,Medium,25-34,Email
R0275,Brand C,High,45-54,Search
R0276,Brand A,Low,35-44,Search
R0277,Brand C,High,25-34,Social
R0278,Brand C,Low,18-24,Search
R0279,Brand D,Medium,35-44,Social
R0280,Brand C,Low,18-24,Social
R0281,Brand D,High,45-54,Email
R0282,Brand D,Medium,18-24,Social
R0283,Brand D,Medium,45-54,Email
R0284,Brand D,High,55+,Social
R0285,Brand D,High,35-44,Email
R0286,Brand A,Medium,18-24,Social
R0287,Brand A,Medium,18-24,Social
R0288,Brand D,Medium,25-34,Search
R0289,Brand B,High,35-44,Social
R0290,Brand B,Medium,45-54,Email
R0291,Brand B,Medium,25-34,Search
R0292,Brand D,Medium,25-34,Social
R0293,Brand B,Low,35-44,Social
R0294,Brand C,High,25-34,Search
R0295,Brand C,Medium,25-34,Email
R0296,Brand A,Low,18-24,Social
R0297,Brand D,Low,35-44,Search
R0298,Brand D,Medium,25-34,Social
R0299,Brand A,Low,18-24,Search
R0300,Brand A,Low,18-24,Search
R0301,Brand C,Medium,45-54,Search
R0302,Brand A,Medium,45-54,Search
R0303,Brand B,Medium,55+,Search
R0304,Brand B,Low,45-54,Search
R0305,Brand D,Medium,25-34,Search
R0306,Brand B,Low,25-34,Search
R0307,Brand B,Medium,45-54,Email
R0308,Brand A,Low,45-54,Search
R0309,Brand D,High,18-24,Email
R0310,Brand C,High,35-44,Search
R0311,Brand B,High,18-24,Email
R0312,Brand C,High,18-24,Search
R0313,Brand A,High,25-34,Social
R0314,Brand B,High,25-34,Search
R0315,Brand A,High,55+,Email
R0316,Brand A,Medium,35-44,Social
R0317,Brand B,Medium,35-44,Email
R0318,Brand C,Medium,25-34,Email
R0319,Brand D,High,35-44,Social
R0320,Brand C,Medium,18-24,Search
R0321,Brand B,Low,35-44,Search
R0322,Brand B,Medium,25-34,Search
R0323,Brand B,Medium,18-24,Social
R0324,Brand C,Low,45-54,Social
R0325,Brand C,Low,25-34,Social
R0326,Brand B,Low,18-24,Search
R0327,Brand D,Low,35-44,Social
R0328,Brand A,Medium,35-44,Search
R0329,Brand A,Medium,45-54,Email
R0330,Brand A,Medium,25-34,Email
R0331,Brand A,Low,45-54,Search
R0332,Brand C,Low,25-34,Search
R0333,Brand D,High,18-24,Email
R0334,Brand A,Medium,55+,Search
R0335,Brand B,Medium,18-24,Email
R0336,Brand D,Low,35-44,Search
R0337,Brand B,Low,45-54,Email
R0338,Brand A,Medium,25-34,Social
R0339,Brand D,Low,25-34,Email
R0340,Brand A,Medium,25-34,Social
R0341,Brand C,Medium,35-44,Social
R0342,Brand B,Medium,18-24,Search
R0343,Brand A,Medium,18-24,Social
R0344,Brand A,Medium,25-34,Search
R0345,Brand D,Low,45-54,Search
R0346,Brand B,Low,25-34,Search
R0347,Brand B,Low,18-24,Social
R0348,Brand C,High,55+,Social
R0349,Brand D,High,55+,Email
R0350,Brand C,Medium,35-44,Social
R0351,Brand A,High,25-34,Search
R0352,Brand C,High,45-54,Social
R0353,Brand A,High,35-44,Email
R0354,Brand C,Medium,18-24,Social
R0355,Brand C,Medium,25-34,Social
R0356,Brand D,Low,25-34,Search
R0357,Brand C,Medium,25-34,Social
R0358,Brand C,Medium,25-34,Email
R0359,Brand A,Low,55+,Search
R0360,Brand B,Low,18-24,Search
R0361,Brand A,Medium,35-44,Search
R0362,Brand D,Medium,25-34,Search
R0363,Brand C,High,35-44,Email
R0364,Brand A,Medium,25-34,Search
R0365,Brand B,High,45-54,Email
R0366,Brand B,Medium,35-44,Email
R0367,Brand B,Medium,25-34,Social
R0368,Brand D,Medium,35-44,Social
R0369,Brand B,Medium,25-34,Search
R0370,Brand B,Medium,35-44,Email
R0371,Brand B,Medium,55+,Email
R0372,Brand D,Medium,35-44,Social
R0373,Brand A,High,18-24,Search
R0374,Brand A,Low,25-34,Search
R0375,Brand D,High,55+,Search
R0376,Brand C,Medium,18-24,Search
R0377,Brand B,Medium,35-44,Social
R0378,Brand C,Low,18-24,Search
R0379,Brand D,High,18-24,Search
R0380,Brand D,Medium,35-44,Search
R0381,Brand A,Medium,25-34,Search
R0382,Brand D,Medium,25-34,Search
R0383,Brand D,Low,45-54,Search
R0384,Brand A,Medium,35-44,Social
R0385,Brand A,Low,18-24,Social
R0386,Brand C,Medium,18-24,Search
R0387,Brand B,High,18-24,Search
R0388,Brand A,High,25-34,Search
R0389,Brand D,Medium,35-44,Email
R0390,Brand C,Low,45-54,Social
R0391,Brand C,Low,25-34,Social
R0392,Brand D,Low,35-44,Social
R0393,Brand A,Medium,45-54,Email
R0394,Brand C,Medium,35-44,Social
R0395,Brand A,Medium,18-24,Social
R0396,Brand D,Medium,35-44,Search
R0397,Brand C,High,18-24,Search
R0398,Brand C,High,18-24,Social
R0399,Brand A,Medium,35-44,Social
R0400,Brand B,Low,55+,Social
R0401,Brand D,High,35-44,Social
R0402,Brand B,Low,45-54,Social
R0403,Brand C,Low,25-34,Search
R0404,Brand C,Medium,25-34,Email
R0405,Brand D,Low,35-44,Social
R0406,Brand D,Low,25-34,Email
R0407,Brand A,Low,35-44,Social
R0408,Brand B,High,25-34,Search
R0409,Brand D,High,25-34,Email
R0410,Brand C,High,55+,Email
R0411,Brand A,High,18-24,Email
R0412,Brand D,Medium,45-54,Search
R0413,Brand D,High,25-34,Social
R0414,Brand A,Low,25-34,Search
R0415,Brand B,High,55+,Search
R0416,Brand A,Medium,45-54,Search
R0417,Brand D,High,55+,Email
R0418,Brand D,High,45-54,Email
R0419,Brand A,High,18-24,Social
R0420,Brand A,Medium,55+,Search
R0421,Brand C,Medium,45-54,Email
R0422,Brand B,Low,25-34,Search
R0423,Brand A,High,18-24,Search
R0424,Brand B,Medium,55+,Search
R0425,Brand A,Low,35-44,Email
R0426,Brand A,High,25-34,Search
R0427,Brand A,Low,35-44,Search
R0428,Brand A,Medium,25-34,Search
R0429,Brand A,Medium,18-24,Social
R0430,Brand D,Medium,35-44,Social
R0431,Brand D,Medium,55+,Email
R0432,Brand C,Medium,45-54,Search
R0433,Brand B,Medium,45-54,Email
R0434,Brand C,Low,45-54,Search
R0435,Brand B,Medium,35-44,Email
R0436,Brand D,Medium,18-24,Email
R0437,Brand A,Low,35-44,Search
R0438,Brand C,Low,25-34,Search
R0439,Brand D,Medium,25-34,Email
R0440,Brand B,High,25-34,Email
R0441,Brand A,Low,45-54,Search
R0442,Brand B,Low,45-54,Search
R0443,Brand C,Low,35-44,Social
R0444,Brand A,High,18-24,Search
R0445,Brand B,Medium,18-24,Social
R0446,Brand C,Low,18-24,Email
R0447,Brand A,Low,25-34,Social
R0448,Brand A,Medium,35-44,Email
R0449,Brand C,Low,35-44,Search
R0450,Brand D,High,18-24,Search
R0451,Brand B,Medium,45-54,Email
R0452,Brand D,Medium,55+,Search
R0453,Brand B,High,55+,Email
R0454,Brand C,Low,25-34,Email
R0455,Brand D,High,18-24,Email
R0456,Brand B,Medium,25-34,Social
R0457,Brand B,Medium,45-54,Social
R0458,Brand C,Medium,45-54,Email
R0459,Brand C,Low,25-34,Search
R0460,Brand B,Low,45-54,Social
R0461,Brand D,Low,25-34,Search
R0462,Brand A,High,25-34,Social
R0463,Brand D,Medium,35-44,Social
R0464,Brand A,Medium,25-34,Social
R0465,Brand C,High,18-24,Search
R0466,Brand B,Low,25-34,Search
R0467,Brand C,Medium,45-54,Email
R0468,Brand C,High,18-24,Search
R0469,Brand A,Low,25-34,Email
R0470,Brand B,Medium,18-24,Search
R0471,Brand C,Low,35-44,Social
R0472,Brand C,Medium,55+,Search
R0473,Brand C,Low,25-34,Search
R0474,Brand D,High,45-54,Search
R0475,Brand C,High,55+,Email
R0476,Brand A,Medium,25-34,Social
R0477,Brand A,High,55+,Social
R0478,Brand B,Medium,25-34,Search
R0479,Brand B,Medium,35-44,Social
R0480,Brand A,Medium,25-34,Search
R0481,Brand C,Low,25-34,Email
R0482,Brand B,Medium,25-34,Search
R0483,Brand A,Medium,25-34,Search
R0484,Brand D,High,45-54,Social
R0485,Brand A,Medium,55+,Email
R0486,Brand A,Medium,45-54,Search
R0487,Brand C,Medium,35-44,Social
R0488,Brand C,High,35-44,Search
R0489,Brand A,High,18-24,Social
R0490,Brand A,High,35-44,Email
R0491,Brand C,High,18-24,Social
R0492,Brand A,Medium,18-24,Social
R0493,Brand C,High,18-24,Email
R0494,Brand A,High,55+,Social
R0495,Brand A,Medium,55+,Social
R0496,Brand A,Low,25-34,Search
R0497,Brand B,Medium,45-54,Search
R0498,Brand D,Medium,45-54,Email
R0499,Brand A,Medium,35-44,Search
R0500,Brand C,High,35-44,Search
R0501,Brand A,Medium,35-44,Email
R0502,Brand A,Low,25-34,Search
R0503,Brand B,Medium,45-54,Search
R0504,Brand D,High,18-24,Search
R0505,Brand D,Low,35-44,Search
R0506,Brand A,Medium,45-54,Search
R0507,Brand A,Medium,55+,Email
R0508,Brand C,Medium,25-34,Email
R0509,Brand A,Low,35-44,Email
R0510,Brand B,Medium,25-34,Social
R0511,Brand D,Low,35-44,Email
R0512,Brand A,Medium,45-54,Search
R0513,Brand C,High,25-34,Email
R0514,Brand C,Medium,35-44,Search
R0515,Brand C,High,18-24,Social
R0516,Brand D,High,45-54,Search
R0517,Brand C,Medium,35-44,Search
R0518,Brand D,Medium,18-24,Social
R0519,Brand B,High,55+,Search
R0520,Brand C,Low,18-24,Search
R0521,Brand A,Medium,25-34,Search
R0522,Brand D,Medium,55+,Search
R0523,Brand D,Low,35-44,Email
R0524,Brand C,Low,35-44,Social
R0525,Brand D,Low,25-34,Social
R0526,Brand C,High,45-54,Search
R0527,Brand A,Medium,18-24,Search
R0528,Brand C,High,25-34,Search
R0529,Brand C,Medium,55+,Search
R0530,Brand D,Low,35-44,Social
R0531,Brand C,Low,25-34,Search
R0532,Brand D,Low,18-24,Social
R0533,Brand B,Medium,25-34,Email
R0534,Brand A,Low,35-44,Search
R0535,Brand B,Medium,18-24,Search
R0536,Brand D,High,45-54,Search
R0537,Brand C,Low,35-44,Search
R0538,Brand A,Low,45-54,Email
R0539,Brand A,Low,18-24,Search
R0540,Brand D,Low,45-54,Search
R0541,Brand D,Medium,18-24,Search
R0542,Brand A,High,25-34,Email
R0543,Brand C,High,55+,Search
R0544,Brand A,Medium,45-54,Social
R0545,Brand C,Medium,35-44,Email
R0546,Brand C,High,18-24,Social
R0547,Brand B,Medium,35-44,Search
R0548,Brand D,High,18-24,Social
R0549,Brand A,Medium,18-24,Email
R0550,Brand A,Medium,45-54,Social
R0551,Brand C,Low,25-34,Search
R0552,Brand A,High,25-34,Search
R0553,Brand D,Medium,25-34,Search
R0554,Brand D,Medium,18-24,Social
R0555,Brand C,Low,55+,Social
R0556,Brand A,Medium,35-44,Email
R0557,Brand B,Medium,35-44,Social
R0558,Brand A,Low,35-44,Social
R0559,Brand D,High,25-34,Social
R0560,Brand C,Medium,35-44,Social
R0561,Brand A,Low,45-54,Search
R0562,Brand A,High,55+,Search
R0563,Brand C,Low,45-54,Email
R0564,Brand B,High,55+,Email
R0565,Brand D,Medium,18-24,Search
R0566,Brand A,Medium,25-34,Email
R0567,Brand B,Medium,25-34,Social
R0568,Brand C,Medium,35-44,Email
R0569,Brand D,Low,18-24,Search
R0570,Brand D,Low,18-24,Search
R0571,Brand B,Low,35-44,Email
R0572,Brand C,Low,35-44,Search
R0573,Brand B,Medium,25-34,Search
R0574,Brand C,Low,55+,Email
R0575,Brand D,Medium,18-24,Email
R0576,Brand D,Low,25-34,Social
R0577,Brand A,Medium,55+,Search
R0578,Brand C,High,25-34,Social
R0579,Brand A,Low,35-44,Social
R0580,Brand A,Medium,25-34,Search
R0581,Brand B,Medium,18-24,Search
R0582,Brand B,Medium,35-44,Search
R0583,Brand B,Low,55+,Email
R0584,Brand B,High,45-54,Social
R0585,Brand D,Low,35-44,Social
R0586,Brand A,Low,25-34,Search
R0587,Brand D,High,35-44,Email
R0588,Brand D,High,45-54,Social
R0589,Brand A,Low,18-24,Email
R0590,Brand D,Medium,55+,Search
R0591,Brand D,Low,45-54,Social
R0592,Brand B,Medium,25-34,Email
R0593,Brand C,Medium,25-34,Search
R0594,Brand A,High,25-34,Search
R0595,Brand A,Medium,25-34,Search
R0596,Brand C,Low,45-54,Social
R0597,Brand C,High,25-34,Email
R0598,Brand A,High,18-24,Social
R0599,Brand B,Medium,25-34,Social
R0600,Brand D,High,55+,Search
R0601,Brand D,Low,25-34,Search
R0602,Brand B,Low,18-24,Search
R0603,Brand B,High,25-34,Social
R0604,Brand C,High,18-24,Social
R0605,Brand C,Low,35-44,Social
R0606,Brand C,High,25-34,Social
R0607,Brand A,Medium,18-24,Email
R0608,Brand B,Medium,55+,Email
R0609,Brand D,High,25-34,Search
R0610,Brand C,Medium,45-54,Search
R0611,Brand D,Low,45-54,Search
R0612,Brand C,Medium,45-54,Email
R0613,Brand B,Medium,18-24,Search
R0614,Brand A,Medium,35-44,Search
R0615,Brand B,Low,25-34,Social
R0616,Brand B,Low,25-34,Social
R0617,Brand A,High,25-34,Email
R0618,Brand A,Medium,45-54,Search
R0619,Brand B,Low,45-54,Email
R0620,Brand D,High,25-34,Social
R0621,Brand A,High,35-44,Email
R0622,Brand D,High,45-54,Social
R0623,Brand A,Low,25-34,Search
R0624,Brand A,Low,18-24,Search
R0625,Brand D,High,25-34,Search
R0626,Brand A,Low,45-54,Search
R0627,Brand A,High,45-54,Email
R0628,Brand B,Low,55+,Email
R0629,Brand D,High,18-24,Email
R0630,Brand D,High,45-54,Search
R0631,Brand C,High,18-24,Search
R0632,Brand D,High,35-44,Social
R0633,Brand C,High,25-34,Search
R0634,Brand D,Medium,45-54,Social
R0635,Brand C,Low,25-34,Social
R0636,Brand A,Low,25-34,Search
R0637,Brand A,High,35-44,Search
R0638,Brand D,Medium,45-54,Search
R0639,Brand D,High,35-44,Email
R0640,Brand C,High,25-34,Search
R0641,Brand B,High,35-44,Social
R0642,Brand A,Medium,25-34,Social
R0643,Brand C,Medium,18-24,Search
R0644,Brand B,High,55+,Email
R0645,Brand B,Low,18-24,Social
R0646,Brand B,Low,25-34,Search
R0647,Brand B,Low,18-24,Email
R0648,Brand B,Low,45-54,Search
R0649,Brand B,Medium,18-24,Search
R0650,Brand C,High,25-34,Social
R0651,Brand A,Medium,25-34,Email
R0652,Brand A,Medium,25-34,Social
R0653,Brand C,Medium,18-24,Email
R0654,Brand C,High,55+,Search
R0655,Brand B,Medium,35-44,Social
R0656,Brand B,High,25-34,Social
R0657,Brand A,High,25-34,Social
R0658,Brand C,Low,45-54,Search
R0659,Brand A,Medium,18-24,Email
R0660,Brand A,Low,25-34,Email
R0661,Brand C,Medium,35-44,Email
R0662,Brand A,High,45-54,Email
R0663,Brand A,High,25-34,Social
R0664,Brand D,Medium,18-24,Social
R0665,Brand C,Low,45-54,Search
R0666,Brand B,Medium,25-34,Email
R0667,Brand B,Low,35-44,Email
R0668,Brand D,High,25-34,Search
R0669,Brand B,Medium,25-34,Email
R0670,Brand B,Low,25-34,Email
R0671,Brand B,Medium,35-44,Search
R0672,Brand D,High,35-44,Search
R0673,Brand C,High,35-44,Email
R0674,Brand C,High,18-24,Email
R0675,Brand C,Medium,25-34,Search
R0676,Brand D,High,25-34,Social
R0677,Brand C,Low,35-44,Social
R0678,Brand A,Low,25-34,Email
R0679,Brand A,Medium,25-34,Search
R0680,Brand A,Medium,35-44,Social
R0681,Brand D,Medium,18-24,Search
R0682,Brand A,Low,18-24,Search
R0683,Brand D,Medium,25-34,Email
R0684,Brand D,Medium,18-24,Search
R0685,Brand B,High,35-44,Email
R0686,Brand B,Medium,45-54,Search
R0687,Brand C,Medium,25-34,Social
R0688,Brand B,Medium,45-54,Social
R0689,Brand D,Medium,18-24,Search
R0690,Brand A,Low,55+,Search
R0691,Brand B,High,25-34,Social
R0692,Brand A,Medium,35-44,Social
R0693,Brand A,Low,25-34,Search
R0694,Brand A,High,25-34,Email
R0695,Brand D,Medium,55+,Search
R0696,Brand C,High,45-54,Search
R0697,Brand D,Low,18-24,Email
R0698,Brand A,Medium,18-24,Search
R0699,Brand D,Medium,35-44,Email
R0700,Brand D,High,18-24,Search
R0701,Brand D,Low,18-24,Search
R0702,Brand D,High,18-24,Social
R0703,Brand D,Low,45-54,Social
R0704,Brand D,Medium,35-44,Social
R0705,Brand D,Low,35-44,Social
R0706,Brand C,Medium,45-54,Search
R0707,Brand D,Medium,18-24,Social
R0708,Brand B,High,18-24,Email
R0709,Brand C,High,45-54,Search
R0710,Brand A,High,55+,Email
R0711,Brand D,Low,25-34,Email
R0712,Brand C,High,18-24,Social
R0713,Brand D,Low,25-34,Social
R0714,Brand D,Low,18-24,Search
R0715,Brand C,High,45-54,Social
R0716,Brand A,Medium,25-34,Search
R0717,Brand A,Medium,35-44,Email
R0718,Brand B,Medium,18-24,Social
R0719,Brand A,Medium,18-24,Email
R0720,Brand C,Low,35-44,Email
R0721,Brand C,High,35-44,Social
R0722,Brand D,Low,45-54,Email
R0723,Brand D,High,25-34,Search
R0724,Brand A,High,18-24,Email
R0725,Brand D,Low,18-24,Search
R0726,Brand B,Low,45-54,Search
R0727,Brand D,Medium,45-54,Search
R0728,Brand B,High,45-54,Search
R0729,Brand A,Low,35-44,Social
R0730,Brand A,Medium,55+,Search
R0731,Brand A,Medium,25-34,Email
R0732,Brand C,Low,35-44,Email
R0733,Brand A,Low,35-44,Social
R0734,Brand A,Low,18-24,Social
